Band_ID,Adult_Color,HY_Color,Sex,Birth_Year,Known_Age,Banding_Age,Mother_ID,Father_ID,Banding_Date,Natal_NestKey,Last_Yr_Seen
2021.76789,,,U,1989,True,N,940.25071,1560.03065,06/28/89,89-M20.3,1989
2021.7679,,,U,1989,True,N,940.25071,1560.03065,06/28/89,89-M20.3,1989
2021.76791,,,U,1989,True,N,940.25071,1560.03065,06/28/89,89-M20.3,1989
2021.76792,,,U,1989,True,N,940.25071,1560.03065,06/28/89,89-M20.3,1989
2021.76793,,,U,1989,True,N,940.25071,1560.03065,06/28/89,89-M20.3,1989
2021.76794,,,U,1989,True,N,940.25071,1560.03065,06/28/89,89-M20.3,1989
2021.76795,,,U,1989,True,N,2021.76318,2011.81106,06/28/89,89-M21.1,1989
2021.76796,,,U,1989,True,N,2021.76318,2011.81106,06/28/89,89-M21.1,1989
2021.76797,,,U,1989,True,N,2021.76318,2011.81106,06/28/89,89-M21.1,1989
2021.76798,,,U,1989,True,N,2021.76318,2011.81106,06/28/89,89-M21.1,1989
2021.76799,,,U,1989,True,N,2021.76318,2011.81106,06/28/89,89-M21.1,1989
2021.768,,,U,1989,True,N,2011.81195,2021.76222,06/28/89,89-L28.1,1989
2031.56201,,,M,1989,False,AHY,,,07/02/90,,1990
2031.56202,L.,,M,1989,False,AHY,,,07/03/90,,1997
2031.56203,,,M,1989,False,AHY,,,07/05/90,,1990
2031.56204,,,M,1989,False,AHY,,,07/05/90,,1990
2031.56205,,,F,1989,True,SY,,,07/05/90,,1990
2031.56206,,,M,1989,False,AHY,,,07/08/90,,1990
2031.56207,,,M,1989,False,AHY,,,07/08/90,,1990
2031.56208,,,M,1989,False,AHY,,,07/08/90,,1990
2031.56209,,,F,1989,True,SY,,,07/08/90,,1990
2031.5621,,,M,1989,False,AHY,,,07/08/90,,1992
2031.56211,,,M,1989,False,AHY,,,07/01/90,,1990
2031.56301,,,U,1990,True,N,2020.39756,,06/29/90,90-O26.2,1990
2031.56302,,,U,1990,True,N,2020.39756,,06/29/90,90-O26.2,1990
2031.56303,,,U,1990,True,N,2020.39756,,06/29/90,90-O26.2,1990
2031.56304,,,U,1990,True,N,2020.39756,,06/29/90,90-O26.2,1990
2031.56305,,,U,1990,True,N,2020.39756,,06/29/90,90-O26.2,1990
2031.56306,,,U,1990,True,N,2020.39756,,06/29/90,90-O26.2,1990
2031.56307,,,U,1990,True,N,2020.39756,,06/29/90,90-O26.2,1990
2031.56308,,,U,1990,True,N,940.25368,2020.39748,06/03/90,90-M25.4,1990
2031.56309,,,U,1990,True,N,940.25368,2020.39748,06/03/90,90-M25.4,1990
2031.5631,,,U,1990,True,N,940.25368,2020.39748,06/03/90,90-M25.4,1990
